,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
0,Dune,2021,155,8.4,75.0,71085,
1,Shang-Chi and the Legend of the Ten Rings,2021,132,7.9,71.0,103694,
2,Casino Royale,2006,144,8.0,80.0,608550,167.45
3,Skyfall,2012,143,7.8,81.0,654550,304.36
4,Knives Out,2019,130,7.9,82.0,533602,165.36
5,The Matrix,1999,136,8.7,73.0,1764857,171.48
6,Once Upon a Time... In Hollywood,2019,161,7.6,83.0,641580,142.5
7,The Shawshank Redemption,1994,142,9.3,80.0,2470780,28.34
8,Parasite,2019,132,8.6,96.0,665983,53.37
9,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,701254,317.58
10,Avengers: Endgame,2019,181,8.4,78.0,944815,858.37
11,Halloween,1978,91,7.7,87.0,246041,47.0
12,Blade Runner 2049,2017,164,8.0,81.0,501072,92.05
13,Man on Fire,2004,146,7.7,47.0,344754,77.91
14,Interstellar,2014,169,8.6,74.0,1620933,188.02
15,The Wolf of Wall Street,2013,180,8.2,75.0,1269116,116.9
16,Django Unchained,2012,165,8.4,81.0,1430591,162.81
17,The Godfather,1972,175,9.2,100.0,1707442,134.97
18,Zack Snyder's Justice League,2021,242,8.1,54.0,339347,
19,The Goonies,1985,114,7.8,62.0,256140,61.5
20,The Dark Knight,2008,152,9.0,84.0,2424950,534.86
21,1917,2019,119,8.3,78.0,495001,159.23
22,Once Upon a Time in America,1984,229,8.3,75.0,330122,5.32
23,The Father,2020,97,8.3,88.0,99783,
24,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1734572,315.54
25,Inception,2010,148,8.8,74.0,2175811,292.58
26,Pulp Fiction,1994,154,8.9,94.0,1912889,107.93
27,Joker,2019,122,8.4,59.0,1073400,335.45
28,Prisoners,2013,153,8.1,70.0,639834,61.0
29,Wind River,2017,107,7.7,73.0,225079,33.8
30,Gone Girl,2014,149,8.1,79.0,911193,167.77
31,Shershaah,2021,135,8.7,,103410,
32,Thor: Ragnarok,2017,130,7.9,74.0,649104,315.06
33,Train to Busan,2016,118,7.6,72.0,188870,2.13
34,Goodfellas,1990,146,8.7,90.0,1072618,46.84
35,Bohemian Rhapsody,2018,134,7.9,49.0,488799,216.43
36,Titanic,1997,194,7.8,75.0,1094653,659.33
37,Mad Max: Fury Road,2015,120,8.1,90.0,929623,154.06
38,Guardians of the Galaxy,2014,121,8.0,76.0,1096188,333.18
39,Battle Royale,2000,114,7.6,81.0,175673,
40,Deadpool 2,2018,119,7.7,66.0,519498,324.59
41,Inglourious Basterds,2009,153,8.3,69.0,1336083,120.54
42,Forrest Gump,1994,142,8.8,82.0,1909897,330.25
43,Gladiator,2000,155,8.5,67.0,1401839,187.71
44,"The Good, the Bad and the Ugly",1966,178,8.8,90.0,719246,6.1
45,A Clockwork Orange,1971,136,8.3,77.0,787190,6.21
46,Little Women,2019,135,7.8,91.0,166642,108.1
47,Another Round,2020,117,7.8,79.0,111863,
48,Jaws,1975,124,8.0,87.0,566098,260.0
49,American Psycho,2000,101,7.6,64.0,527203,15.07
50,Fight Club,1999,139,8.8,66.0,1945056,37.03
51,Jurassic Park,1993,127,8.1,68.0,911005,402.45
52,Avengers: Infinity War,2018,149,8.4,68.0,928099,678.82
53,Deadpool,2016,108,8.0,65.0,950744,363.07
54,The Shining,1980,146,8.4,66.0,944979,44.02
55,Arrival,2016,116,7.9,81.0,636141,100.55
56,Taxi Driver,1976,114,8.2,94.0,763386,28.26
57,Blade Runner,1982,117,8.1,84.0,723410,32.87
58,The Departed,2006,151,8.5,85.0,1243288,132.38
59,The Silence of the Lambs,1991,118,8.6,85.0,1334911,130.74
60,The Nightmare Before Christmas,1993,76,8.0,82.0,310844,75.08
61,The Princess Bride,1987,98,8.1,77.0,408970,30.86
62,The Revenant,2015,156,8.0,76.0,743993,183.64
63,Alien,1979,117,8.4,89.0,825025,78.9
64,Se7en,1995,127,8.6,65.0,1520496,100.13
65,The Gentlemen,2019,113,7.8,51.0,282761,
66,Boogie Nights,1997,155,7.9,85.0,250754,26.4
67,The Dark Knight Rises,2012,164,8.4,78.0,1581278,448.14
68,Sicario,2015,121,7.6,82.0,395971,46.89
69,Schindler's List,1993,195,8.9,94.0,1269179,96.9
70,No Country for Old Men,2007,122,8.1,91.0,902901,74.28
71,Call Me by Your Name,2017,132,7.9,93.0,237303,18.1
72,Back to the Future,1985,116,8.5,87.0,1115511,210.61
73,Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,429893,190.24
74,Star Wars: Episode IV - A New Hope,1977,121,8.6,90.0,1279296,322.74
75,The Green Mile,1999,189,8.6,61.0,1206457,136.8
76,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85.0,804484,381.01
77,Catch Me If You Can,2002,141,8.1,75.0,888830,164.62
78,Oldboy,2003,101,8.4,77.0,542153,0.71
79,The Big Short,2015,130,7.8,81.0,391651,70.26
80,Shutter Island,2010,138,8.2,63.0,1199216,128.01
81,Léon: The Professional,1994,110,8.5,64.0,1084022,19.5
82,Harry Potter and the Goblet of Fire,2005,157,7.7,81.0,575412,290.01
83,Trainspotting,1996,93,8.1,83.0,657027,16.5
84,Tombstone,1993,130,7.8,50.0,136382,56.51
85,Die Hard,1988,132,8.2,72.0,822040,83.01
86,Jojo Rabbit,2019,108,7.9,58.0,340557,0.35
87,The Boy in the Striped Pajamas,2008,94,7.8,55.0,201794,9.03
88,Stardust,2007,127,7.6,66.0,263275,38.63
89,Whiplash,2014,106,8.5,88.0,765903,13.09
90,Star Trek,2009,127,7.9,82.0,590431,257.73
91,12 Angry Men,1957,96,9.0,96.0,731272,4.36
92,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,63.0,1046554,305.41
93,The Prestige,2006,130,8.5,66.0,1247605,53.09
94,There Will Be Blood,2007,158,8.2,93.0,546155,40.22
95,Get Out,2017,104,7.7,85.0,532118,176.04
96,Good Will Hunting,1997,126,8.3,70.0,902670,138.43
97,Pride & Prejudice,2005,129,7.8,82.0,273953,38.41
98,Aliens,1986,137,8.3,84.0,679673,85.16
99,American Beauty,1999,122,8.3,84.0,1105978,130.1
100,Guardians of the Galaxy Vol. 2,2017,136,7.6,67.0,612474,389.81
101,The Grand Budapest Hotel,2014,99,8.1,88.0,747142,59.1
102,What We Do in the Shadows,2014,86,7.7,76.0,168701,3.33
103,The Lord of the Rings: The Return of the King,2003,201,8.9,94.0,1713300,377.85
104,Scarface,1983,170,8.3,65.0,780077,45.6
105,The Big Lebowski,1998,117,8.1,71.0,767494,17.5
106,Ghostbusters,1984,105,7.8,71.0,373943,238.63
