,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
0,Dune,2021,155,8.4,75.0,77341,
1,Shang-Chi and the Legend of the Ten Rings,2021,132,7.9,71.0,107265,
2,Casino Royale,2006,144,8.0,80.0,611982,167.45
3,Skyfall,2012,143,7.8,81.0,657440,304.36
4,Halloween,1978,91,7.7,87.0,247231,47.0
5,Knives Out,2019,130,7.9,82.0,535602,165.36
6,Parasite,2019,132,8.6,96.0,668079,53.37
7,Titanic,1997,194,7.8,75.0,1095849,659.33
8,Heat,1995,170,8.2,76.0,608849,67.44
9,Once Upon a Time... In Hollywood,2019,161,7.6,83.0,642794,142.5
10,Blade Runner 2049,2017,164,8.0,81.0,502103,92.05
11,The Matrix,1999,136,8.7,73.0,1766591,171.48
12,The Wolf of Wall Street,2013,180,8.2,75.0,1270602,116.9
13,The Shawshank Redemption,1994,142,9.3,80.0,2472822,28.34
14,Joker,2019,122,8.4,59.0,1075796,335.45
15,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,701927,317.58
16,Zodiac,2007,157,7.7,78.0,498598,33.08
17,Avengers: Endgame,2019,181,8.4,78.0,946629,858.37
18,Train to Busan,2016,118,7.6,72.0,189840,2.13
19,Gladiator,2000,155,8.5,67.0,1402904,187.71
20,The Godfather,1972,175,9.2,100.0,1708664,134.97
21,The Nightmare Before Christmas,1993,76,8.0,82.0,311382,75.08
22,Interstellar,2014,169,8.6,74.0,1622833,188.02
23,Battle Royale,2000,114,7.6,81.0,176075,
24,The Dark Knight,2008,152,9.0,84.0,2426865,534.86
25,Zack Snyder's Justice League,2021,242,8.1,54.0,340082,
26,1917,2019,119,8.3,78.0,496173,159.23
27,Prisoners,2013,153,8.1,70.0,640663,61.0
28,The Father,2020,97,8.3,88.0,100697,
29,Inception,2010,148,8.8,74.0,2177635,292.58
30,Pulp Fiction,1994,154,8.9,94.0,1914342,107.93
31,The Departed,2006,151,8.5,85.0,1244206,132.38
32,Ghostbusters,1984,105,7.8,71.0,374393,238.63
33,Fight Club,1999,139,8.8,66.0,1946952,37.03
34,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1735668,315.54
35,The Shining,1980,146,8.4,66.0,946016,44.02
36,Léon: The Professional,1994,110,8.5,64.0,1084964,19.5
37,Django Unchained,2012,165,8.4,81.0,1431955,162.81
38,Gone Girl,2014,149,8.1,79.0,912068,167.77
39,The Silence of the Lambs,1991,118,8.6,85.0,1335957,130.74
40,Mad Max: Fury Road,2015,120,8.1,90.0,930445,154.06
41,Man on Fire,2004,146,7.7,47.0,345316,77.91
